Date,Daily Test,Confirmed,Recovered,Death,Isolation,Quarantine,Released,Total Tested,Total Cases,Total Recovered,Total Death,Case Rate
"March-08","","","",0,"","","",111,3,0,0,""
"March-09","","","","","","","","","","","",""
"March-10","","","","","","","","","","","",""
"March-11","","","",0,"","","",142,3,2,0,""
"March-12","","","",0,"","","",163,3,2,0,""
"March-13","","","",0,"","","",187,3,2,0,""
"March-14","","","",0,"","","",211,5,3,0,""
"March-15","","","",0,"","","",231,5,3,0,""
"March-16","","",0,0,"","","",241,8,3,0,""
"March-17","","",0,0,"","","",277,10,3,0,""
"March-18",10,4,1,1,"","","",351,14,3,1,""
"March-19",46,3,0,0,"","","",397,17,3,1,""
"March-20",36,3,0,0,"","","",433,20,3,1,""
"March-21",null,4,2,1,"","","",null,24,3,2,""
"March-22",27,3,0,0,"","","",564,27,5,2,""
"March-23",56,6,0,1,"","","",620,33,5,3,""
"March-24",92,6,0,1,"","","",712,39,5,4,""
"March-25",82,0,6,1,"","","",794,39,5,5,""
"March-26",126,5,0,0,"",4099,3754,920,44,11,5,""
"March-27",106,4,0,0,"",3374,4303,1026,48,11,5,""
"March-28",47,0,4,0,47,2099,4063,1076,48,15,5,""
"March-29",109,0,4,0,"",2790,4617,1185,48,15,5,""
"March-30",153,1,4,0,"",1804,4428,1338,49,19,5,""
"March-31",140,2,6,0,"",1914,4771,1602,51,25,5,""
"April-01",157,1,1,1,"",1459,5130,1759,54,26,6,""
"April-02",141,2,0,0,"",1413,3615,1906,56,26,6,""
"April-03",203,5,0,0,"",552,2604,2113,61,26,6,2
"April-04",434,9,4,2,"",469,2968,2547,70,30,8,2
"April-05",367,18,3,1,"",1120,2815,2914,88,33,9,5
"April-06",468,41,0,5,"",739,2068,3610,164,33,17,7
"April-07",792,41,0,5,"",638,1652,4289,164,33,17,6
"April-08",981,54,0,3,16,876,1035,5194,218,33,20,6
"April-09",905,112,0,1,37,1486,856,6175,330,33,21,12
"April-10",1184,94,0,6,24,2474,660,7359,424,33,27,8
"April-11",954,58,3,3,35,4290,728,8313,482,36,30,6
"April-12",1340,139,3,4,47,4945,670,9653,621,39,34,10
"April-13",1570,182,3,5,84,6168,1045,11223,803,42,39,12
"April-14",1905,209,0,7,89,5512,1039,13128,1012,42,46,11
"April-15",1740,219,7,4,71,11770,1265,14868,1231,49,50,13
"April-16",2135,341,0,10,37,5214,925,17003,1572,49,60,17
"April-17",2190,266,9,15,103,5766,862,19193,1838,58,75,12
"April-18",2114,306,8,9,66,3815,4026,21307,2144,66,84,14
"April-19",2634,312,9,7,52,4371,1574,23941,2456,75,91,12
"April-20",2779,492,10,10,58,31079,1845,26604,2948,85,101,18
"April-21",2974,434,2,9,89,5592,2192,29578,3382,87,110,15
"April-22",3043,390,5,10,150,3567,3172,32630,3772,92,120,13
"April-23",3460,414,16,7,123,3977,3841,36090,4186,108,127,12
"April-24",3386,503,4,4,104,3496,5095,39476,4689,112,131,14
"April-25",3637,309,1,9,46,2294,4057,43113,4998,113,140,9
"April-26",3476,418,9,5,75,2891,3963,46589,5416,122,145,12
"April-27",3812,497,9,7,85,2370,4590,50401,5913,131,152,13
"April-28",4332,549,8,3,111,2392,3231,54733,6462,139,155,13
"April-29",4968,641,11,8,104,2544,3002,59701,7103,150,163,13
"April-30",4965,564,10,5,138,2182,7082,64666,7667,160,168,11
"May-01",5573,571,14,2,175,2381,3462,70239,8238,174,170,10
"May-02",5827,552,3,5,168,1543,2850,76066,8790,177,175,9
"May-03",5368,665,886,2,65,2149,3504,81434,9455,1063,177,12
"May-04",6260,688,146,5,90,2742,28548,87694,10143,1209,182,11
"May-05",5711,786,194,1,128,2477,3288,93405,10929,1403,183,14
"May-06",6241,790,0,3,184,3889,3872,99646,11719,1403,186,13
"May-07",5867,706,507,13,107,2331,2967,105513,12425,1910,199,12
"May-08",5941,709,191,7,103,2619,3976,111454,13134,2101,206,12
"May-09",5518,636,313,8,196,1755,3718,116919,13770,2414,214,12
"May-10",5738,887,236,14,169,2218,2979,122657,14657,2650,228,16
"May-11",7208,1034,252,11,183,2360,2439,129865,15691,2902,239,14
"May-12",6773,969,245,11,152,1666,3065,136638,16660,3147,250,14
